macket_id,macket_size,fk_macket_to_formatType,macket_height,macket_width,macket_specific,macket_DATE,macketVARCHAR
33,34.1,1,507.9,1193.9,IKTUJLS^AAC_F^B\XBXYEXARRN_WKVAHOI,9/13/2009,KUSCMQRZGNUV[Q
34,27.9,2,633.5,2437.5,CNSG\VMIO_WCRFI^VQFK]^GCB_]GNM]YON,7/20/2014,_PVUYZLHOR\DIZ
35,28.6,3,645.9,2463.1,SMGSRXFZLJUMHSNJPS^SVI[LXVTFMWAWIL,10/19/2015,MTQ[\_LJI]^Y\R
36,3.5,4,1087.5,3356.2,OE]]^JO_ELNEVNHJJM[VC_JJW]UTKDYSDY,4/27/2001,YOMMY^WLRCCT[[
37,26.1,1,1348.8,3738.9,BOQPECIZLTFOOHYZ[OVCIG_BPBSY\UFK[P,6/5/2018,VJMKTGJXGLRHLN
38,10.8,3,812.9,3136.6,PDEDIYZGP^O_DQV]ZUIQ]NDHDZT]RFPGZX,8/16/2004,WMQU\ZFMJZLE\V
39,49.1,2,1738.4,2523.3,JAAQTNOR\[BNRVABJAY_ADRTI]VNEIU]B^,11/18/2015,TKIJME[BGBGT_B
40,49.1,4,1225.1,2313.3,JRZ_[GDA_YLHX^AW]PSM^X[EIUX[B]SJEH,2/7/2001,\^PO[[KWE\[VN^
41,45.3,5,1087.2,3957.5,OPTGLAOF\BXZKAXDO_ZP]M\\ZNDTTBWNCZ,3/4/2009,TQGSGTLCDJQEFG
42,42.7,4,1706.9,935.4,SGZ_JERPM_EEAVAR^XTADB\NDPH__L\SP\,7/12/2000,QUNNE\SX^^TXGQ
43,46.3,3,1998.9,3028.2,^PY[KRCOJDCIXWAD]JEZPEVEKI^^O[UIV[,7/16/2004,QIJLZGAG_\XX_U
44,37.8,1,1312.1,965.6,HDFQS_[YZPZWOUQJMBZCWO^FLKQFAW^ZMM,2/8/2015,CWQTJ[]LTV_PZU
45,8.6,1,922.7,599.2,TVF\KIVSMKXSXL^XIQLVDFQ_EGYTEVJ\UY,4/10/2012,WK\H^YWZUYXTFJ
46,34.2,1,789.2,3767.1,FJ\JKRRDUZ[ZLMKPMYDYNBMOX[EKRMQMZ],6/10/2009,JOGKTA[WXKYHY[
47,11.7,4,833.9,3450.4,SE]Q_G\\PBDVMVT^FWRRBHTH_ZHIEARJT\,3/21/2005,TLSXNM[KRBYAU\
48,3.7,2,1661.2,2125.4,MU[KOOIJTLHUDVKVPGTRJZYIPNGI]C[BJF,8/12/2010,SCACNI^NBCRPZJ
49,3.7,4,1598.3,1140.2,^UNW^GZLQUXUWRMMHWULQ\GL_SDJROSFCS,5/18/2014,CV]YKG^FML^KIS
50,37.8,1,1081.2,2686.9,XO_OYF]G[[IUE[QE]IBRSAOKANTHB\E]LP,8/22/2008,PGVVKV^AJQH[M_
51,21.6,5,3632.6,1053.4,DBXGJZHPH]WBNGXUUVERAVN_[CJTVAMGL],8/23/2008,
52,19.7,4,3746.4,3111.9,NEYGYFZZPQAH_[WYWCVWFSUUQXEB]WROLH,8/24/2008,
53,14.1,1,909.9,2040.6,OVE_HNU[L_S[][\_XAFPUKPJD^QB\UHO_F,8/25/2008,
54,5.7,2,1759.7,3061.3,FP[[QVSNPRFHYBJE_UFCAQW]\RL^DZXQBW,8/26/2008,
55,7.8,1,678.6,637.7,W[GU[YBZPQZFFVOOCMQ\_PHJJMNPU]][N\,8/27/2008,
56,46.8,3,870.2,3759.2,XPVND]WD[IINPUQPU_TW_NSDHGDZWAV[\U,8/28/2008,
57,33.6,2,2521.7,3716.3,MAC^_ZW\FLATNDI]ZCSPZG^OV[\HRRU\WD,8/29/2008,
58,15.1,3,3808.3,2700.2,Q__AREY^GONNLGXD_TU[JVL[W^\T\TWGTU,8/30/2008,
59,13.2,1,3643.2,2084.4,TNFX^MIABZUA_]GTEJLBIYFIA[QNP^MAHT,8/31/2008,
60,9.2,1,1970.6,2071.5,EAIMHVCREPCADBLGLEJA]BNZEYDNCMF[NE,9/1/2008,
61,32.4,4,943.6,1269.3,]MOIYRPGSMQX\VGDF\LPDHYQLN_BVPFIN_,9/2/2008,
62,44.3,2,3562.7,1074.3,M\^^TLXMASZ[J]YXUDDZI_P^ZZFEJHFAFV,9/3/2008,
63,46.7,2,3079.5,1504.5,SDC]XMQTNZLFNSNPSEFY^\LMPLUQWFV\KY,9/4/2008,
64,20.4,3,2273.2,3109.7,QNLXFVCN_Q^DZ[[VOAZNXNXRYMX^D[]DOV,9/5/2008,
65,27.2,2,3930.1,682.6,GIOZI]BHYV]HGMIJ_S]SMT^ZBPXUACBNEF,9/6/2008,
66,31.5,4,3496.9,2433.4,IILJRZXQYJMEJAMARE^PRI]XOSIR]CYTYU,9/7/2008,
67,15.9,2,3301.8,3879.7,XQGJ\VLAUJEPTE]DOCRKC]NVCBPSQ_C^SR,9/8/2008,
68,40.5,2,699.5,2071.7,JUUMM_USMDO\]HGGYFKNMWJDTEG[CJVRZY,9/9/2008,
69,10.9,1,1595.7,568.2,AN_ZEM]V[VYEANZYJGBVZEJFUXMUUNW[KK,9/10/2008,
70,15.1,1,1993.1,593.3,[OPEGPATP_PBGVH[XT_SCZOSYHLKRKZOFG,9/11/2008,
71,14.3,1,1102.9,1023.6,KAYVNS\WBIAIPUH_QMBE]]W^QONIA]COYB,9/12/2008,
72,16.6,4,1900.1,3811.6,\GGKAGSMES_EFU]AFEUX]TNKEUOMMG^[MQ,9/13/2008,
73,37.3,2,1619.4,1984.3,XALOCDWHEXPHADCQS\MYVPJRMYPV[^_UCJ,9/14/2008,
74,33.8,1,3715.4,3731.4,[GONQBHDPQ\F^]_[OPGW[BGEDIHFOGPPTN,9/15/2008,
75,15.5,1,2965.6,3863.2,GBE\FOGQ_HPFMYNJFLICPR^MTRMVOA_]PU,9/16/2008,
76,25.5,4,2845.6,1315.5,MV_MKY]BHMSVYPAE_JPLSYBUN^PNFBIGVI,9/17/2008,
77,27.2,3,2421.2,2832.9,OQPJKI]UK[AQKR[G]SU_\DJTPH^LVYTXAY,9/18/2008,
78,9.9,5,1506.8,904.5,PLG_FCADLULBSEBVME\L]AI[^^YMRC[NQN,9/19/2008,
79,35.7,1,3741.7,2053.1,KQCI\B[ELJB^HUSJXVBWTNLQG]WWLWN^ZV,9/20/2008,
80,20.5,1,3118.7,942.6,GHFL^T_NRWCSNPCODIBG_MX]MYJCQNZ[G],9/21/2008,
81,23.6,2,1726.6,2338.5,_CRRRBOAUHFTMYHEUPOI^JXNASDGBRWE[X,9/22/2008,
82,38.5,2,1741.4,1981.2,FPDPU[BPMHWVMXQB_VHRGYR\TLBLP[YKUA,9/23/2008,
83,27.6,5,1802.4,2041.3,FYDEESZHY[UGZ_MMPW]]WPPC[OG[KF[_DS,9/24/2008,
84,12.4,1,1076.3,2693.4,^XGDKJJFRI[XO[QVFFAHBNRP^JNSSMFQY_,9/25/2008,
85,17.6,4,2734.2,3086.5,CPA_\CV^XQVLROPY\JXINKJ^IBJZO\JI[[,9/26/2008,
86,7.6,5,716.2,633.1,\RFLFXXQCTE^^NZSPCB[H\GP^A\CUKGWCB,9/27/2008,
87,48.6,1,865.1,2818.2,^HYSIA[WQZPXGTTNA]ELJF_PYUMTY]_RQW,9/28/2008,
88,36.1,4,560.4,2606.5,VRZ_U_^HLMVVQ\_TKQAY^ZVOBNILLOZKY^,9/29/2008,
89,33.2,4,2496.3,1564.9,L_UUAD[WKEPX]^SVCRSSEIYABVWB_L^VI^,9/30/2008,
90,22.3,3,973.5,869.6,DUPZBPXUROOYFZTLLLHTNNRYDGKWIM]QLJ,10/1/2008,
91,35.5,2,3316.1,798.5,COZPH]GGSVNQG[CRK[O\[P[CYFJRQO\S[E,10/2/2008,
92,32.3,4,1945.9,2525.8,ABPMLWUBLCUOXB[UKIULPDJZVC[VWUM\QR,10/3/2008,
93,37.9,2,3859.8,3223.4,UNALUHCA]UDZWXG^TPNWTA\^K[N[\^R[RV,10/4/2008,
94,16.9,1,552.2,3393.4,DFTALWM_LPOCMAX\QBVL^ZYWRKUDLK_IOK,10/5/2008,
95,20.4,5,3807.2,3077.2,NNXKGM]UM^DUOMBYOIYK]XTTG[ZDRVAUMO,10/6/2008,
96,10.3,1,3628.6,3007.3,MHFB\VUP^RS^VEQKPAZJATED\HP]]G_W\J,10/7/2008,
97,25.9,4,3940.9,2723.4,XYC]HAODABPZYTB_HYK[XTNUXSOZUSP\BU,10/8/2008,
98,22.2,2,1355.7,3046.1,ZZXVJLIDVYNOVMUVYMA_\[ACN]B_GBFCMJ,10/9/2008,
99,5.4,4,2009.8,991.7,^EMX^WUV_OZWUL^BQ]V^ZBZE]O^FLTF[RX,10/10/2008,
100,43.4,4,2464.6,586.5,EACCDJ\\D[SOJF_JDLWTJSQSP]^IRYX\QE,10/11/2008,
101,18.7,1,579.2,1139.4,VNANUHILC\ERO^JGIKOQW[_VIB\SXRJ^DP,10/12/2008,
102,41.4,1,2065.2,1871.7,QCOGVCRTJZXIXTBRDAKA[]RXSRXKCWUCO_,10/13/2008,
103,42.5,4,1542.5,1796.6,\UGJNM]GNXTWWXWEMD^_JK\\QPEW^DU\JS,10/14/2008,
104,12.7,2,2224.5,3297.1,CTVPSAKLJHYHOBL]B_DSWGAPCHI_BGB]KQ,10/15/2008,
105,29.4,5,2706.5,1527.7,_LJMLOJ\^P\GWEU_A\YJEASYRYNA_FOWLD,10/16/2008,
106,12.2,1,1670.1,2759.1,\AP\AZJ]FUCGOAUFWJS[AJWPYHXBV_RODI,10/17/2008,
107,13.6,3,2387.4,977.3,]_OXPJ__X\\BTGBFBM_^GYQIDSY\^SOSQD,10/18/2008,
108,18.1,5,3709.7,1140.5,_XOM]DLGBJBJE]^MAFBO\DLNTPNV^DNSEE,10/19/2008,
109,11.7,4,2922.8,2666.3,Q[GAGYUHPFXF^GJRXDKHXDH\PAVACTAKJB,10/20/2008,
110,15.1,3,3165.2,2970.3,TA_OIBRT]NLQT^V[^DHJMBZWDIL]Q^TH_Z,10/21/2008,
111,29.2,1,564.6,2146.2,LO]PIESUEVMXVEJCTIZLZSVBQNPJGZXZJD,10/22/2008,
112,29.1,3,908.9,1706.4,VDSM^ZH[YMVDVJNIMY[^ZKEBKDNBBAPX\],10/23/2008,
113,34.3,3,3318.7,1112.7,QF[DCAEVNZJV]ODGDIPCRVJL^LRYLZ_UMX,10/24/2008,
114,18.1,3,2918.9,1060.4,SSSEMO\CU[KRRVOKEQ[SVH[UUQZMNCOBEU,10/25/2008,
115,34.8,4,3982.5,1454.6,\Y[VBALF^NUYLNOP^_SZQWFGFE^LVMJDF],10/26/2008,
116,15.2,1,3922.7,913.6,\EKFPI^YODCA]JVPZHZWHJVT[^Z\GMZDPV,10/27/2008,
117,16.7,2,2967.2,629.7,EIAYKFP_KHIIJ[JVECCPCVCZAMXJG^VGEH,10/28/2008,
118,11.6,2,1053.3,1694.2,_BLRJ_TCBRARPRYI]UGB[A^CJCOFMT^XLG,10/29/2008,
119,26.3,5,3795.4,1246.9,SEMHKSMVQXMSBF[\_^\FJ]HZOJA^MS\PQF,10/30/2008,
120,42.3,2,1086.3,3800.8,BXSPSM[\]]XMALAWD]X^GOJZBS[YCDF]TR,10/31/2008,
121,9.2,4,3266.9,2414.4,TVAPAIF]U]EYLCNGFKASMWR^PQFTTKHVK[,11/1/2008,
122,43.1,4,3249.7,3961.7,IY^TAMI\RWXDGQHMY^CJDOXBDA\XY_[LDN,11/2/2008,
123,5.5,1,3664.3,3228.5,MTGFLCWIWD_ATKYKKJGKUYYYUQZKIQGXAC,11/3/2008,
124,37.1,4,3616.5,1332.1,AF[THMIIYP[KHXO\GZLHBVGHZ\EWIBCRBF,11/4/2008,
125,18.4,1,1676.1,3630.3,PMFHBJPMVLSMMH^HPWDBDPA\DDGWHSAZ^H,11/5/2008,
126,8.4,2,996.4,685.1,NWILNLRXQGVFFGO^PCOHOHXZH^UDJCC^ZH,11/6/2008,
127,26.3,5,782.7,697.1,]A\KP^H]\NHT^OPSEBQ[]KF]_VFSLXIQKG,11/7/2008,
128,13.3,4,826.3,664.6,RN]LQN]ICWCUHYS[UW_IRYXBHBIGNDAULG,11/8/2008,
129,23.7,3,1460.6,3977.4,VLKKGJSI\NFG]VIDPFDMYUBDZH_L\OATU[,11/9/2008,
130,38.3,3,1992.9,1412.9,^MQWGUPGVW_W^]DL\NTKTTLXQO^GNTZNZY,11/10/2008,
131,41.9,5,755.9,3750.7,_]TRC[GA]_\U[KZPXMHSZCWTLVF_Q[]AEA,11/11/2008,
132,31.6,4,1179.6,1512.4,T^O^[IBJWVVOJL[\J[YARM\RTWGFLHKPD_,11/12/2008,
133,5.2,2,3305.1,2484.7,^YM]P[GJW\QJURKBR^PUGB_MJJOM\HVPB[,11/13/2008,
134,27.6,2,634.5,2168.3,GHUHJX[FENANNQQ^PNV\O]OBQOEOX\Z\E_,11/14/2008,
135,20.2,5,3015.7,1615.1,^ZWMDUTEVUUS_INZYTA_RPC\ZPF\\\]U[P,11/15/2008,
136,9.7,5,824.5,1423.6,F_OBIBFBW^\NBHFZ]]YAIZ[DBJLGHMX[HA,11/16/2008,
137,32.1,1,2489.7,3300.6,[NQLVKPYASHWCS^NKGXCYQOO^IERHPXKZL,11/17/2008,
138,42.1,4,1120.3,2405.6,RLVGGE\VLBL]FUU_D[XAS_HYO\B_SRT\]H,11/18/2008,
139,18.6,5,2849.9,1472.6,B\IMJA\MVZMBXHCDBPOM^HDZOBHB[WYCWX,11/19/2008,
140,14.4,5,2669.3,3489.8,VV[J[CCRNUMENNETGOUQ^CC_TYLFXN\RXR,11/20/2008,
141,21.3,1,3088.3,3786.3,XDQSNEXARJ[US_JEECDZZLZT[NELP[RLK[,11/21/2008,
142,13.9,1,1659.3,3483.7,U\XTWLQMH_O[SGGXVZ]^OUQYVBETA\J[W_,11/22/2008,
143,19.6,3,842.2,2830.9,IN_GHUMQCHN]QCW]OWBLNTP[YGY[GLNU]N,11/23/2008,
144,30.4,3,3669.4,2475.1,UAY\\PDDQLDEPNMK_GP\NCYXJCSXPPQJ^I,11/24/2008,
145,34.9,4,998.5,1506.7,LWF_QKUJPAX_TRUYYBERAJYNV^P[OUYZ[J,11/25/2008,
146,19.9,2,1730.4,1156.6,XSAQACYWVTY_CTICQBNSNGMOWWOWETGRT\,11/26/2008,
147,47.3,3,3311.3,3217.1,U\YWJAQEEO\JBFVIRANXNAZR_[YTNOK\K[,11/27/2008,
148,43.6,3,2241.7,565.5,__HLRPDSPP_SNOQQHZQQ_\IJV\FTR][WYZ,11/28/2008,
149,27.8,4,594.3,631.3,VCP]WLLC^PAAWBAJULXA^MJHLXSZLOJE[O,11/29/2008,
150,42.6,3,3448.2,2859.7,ZYOUDVWMAK[DJ^]QSA^^DHQRPMZJVGITWH,11/30/2008,
151,27.8,2,2433.3,3190.7,\BDAX^G\]BEYCLBIVYKIMJXW]TMI^]UNJB,12/1/2008,
152,25.9,3,2448.6,1098.8,S\VTBAFBWDYIAG][FVF^BOQM\]\HGLTCI[,12/2/2008,
153,30.4,1,1300.3,1513.6,LHNSI[]XYQZZM^QKGYOJW^[KX[FQAGLKUM,12/3/2008,
154,44.4,3,2832.3,1272.4,EOKOGQHZZ_P^[\KE\]DQO\QFLZLJL[HV[L,12/4/2008,
155,14.5,3,2084.1,2672.5,\DFCJBUMEXX]JLUPLOHZGGW]MM^MT_PJAI,12/5/2008,
156,13.1,2,1150.1,3146.6,Q\FSSYGJHHUA]]QDSFZ_WVQT_EHYWQUQUJ,12/6/2008,
157,35.4,1,1028.4,899.4,OPJP\VXDZ^AFSMVDCCB[SXWGQKMGPCDEFS,12/7/2008,
158,39.2,5,1834.1,578.4,IQOG]XF\H_AO^KIVPASUJIRUGYMFK^FOP_,12/8/2008,
159,37.9,2,3146.6,3401.1,UR_HSMH]CCFPICO_HAJX\MEE^_XSXAILAU,12/9/2008,
160,5.8,2,3021.9,2099.6,VNWZ_Q_N^XLHN\C_J_\DC^SHOZYQVCNLGD,12/10/2008,
161,18.8,5,2092.4,3978.8,CFQUZDXM\FI[EEEZEBPUJGP_H]MGN\OYFW,12/11/2008,
162,41.1,2,2579.6,1999.2,RO^CQYAI\GDI^AWZ^TH]BJTFB^KF\TZEPP,12/12/2008,
163,24.1,5,2727.7,1317.9,NS\JASC]HWEK_UXBYEI^[WY^_G_HSZWIGP,12/13/2008,
164,21.1,2,3110.6,1551.5,\DU^_Q_GKX^A]WWSICYRIBM_^KZNNG\][M,12/14/2008,
165,11.3,4,3343.2,696.8,AKQGFSZPWESAFBIKL[_]_C_\GQVDRR[\ZZ,12/15/2008,
166,35.9,1,2496.2,2829.8,HCKRLGY]HD_]ZROGJ\YUJXB^KE]L^OOTZ_,12/16/2008,
167,48.6,5,2791.2,2075.5,XHJWAZZCOK^PKEPOCUSK_[RBMGE_UYTHZJ,12/17/2008,
168,38.5,5,3801.8,3818.1,C^_OULPJVBSGNYHYB]JRENLXMSUNLCXJTH,12/18/2008,
169,31.5,5,1001.8,3292.6,W_GCNI[AV^J_FIN]WOKARP[SRWGT]CVS]O,12/19/2008,
170,6.8,5,3139.9,641.5,_MU_XM\U^VKJUAWJUWR]YHOCNUXDNCQPUO,12/20/2008,
171,40.9,2,1663.8,566.5,TUZM_R[K\DALQDCEON^TUOSLXJWSVRO\__,12/21/2008,
172,45.5,5,3638.7,647.3,^EQOJCDRESNFXCIMWDCBUCUYRYSSDSHK]H,12/22/2008,
173,24.5,1,2324.9,687.9,TCFG_CD[_YNOWGKGAL]WDVGSWZGQEJYCYH,12/23/2008,
174,8.2,4,1106.2,808.9,WSCCX\[UTV\RUTJT^WVYSSH]FMTPTOE[NZ,12/24/2008,
175,15.8,4,3084.1,3312.5,SMDIJR^IBZHLVGIA]QJYGGNATONGVXPWXJ,12/25/2008,
176,34.7,4,1893.4,3026.7,]FGSQYXMZRF[CQAFCMQWTWBSYNHWG[H_NE,12/26/2008,
177,45.9,4,3577.4,2156.2,JHUNNXXFHS^]GYR\[M_NPIP]VCYOMYCDTU,12/27/2008,
178,46.8,5,3476.5,2075.7,ISWFFSVMWOD_HCBEDZE]XZUOAVCR\MJGOI,12/28/2008,
179,41.3,4,1510.2,1570.7,C[WXLLMULZJ]NINNZAXOCFZKTAPT[WLAIP,12/29/2008,
180,14.1,5,2544.1,2924.1,YOYV[PNSXH_KAZVIS]NIU_XWPYCZSTC]NE,12/30/2008,
181,31.7,4,2123.9,602.2,W]_J^DVFB_IKYVDCSFMGZGE[IHKCNNBGVJ,12/31/2008,
182,10.7,2,3321.8,1139.3,MY\FTS[ITM][YFE[LHDEORXYCBISII[NMD,1/1/2009,
183,40.8,4,671.1,2559.2,WRRRHEITH[IGAXCZ_TXKI^QVFNBGOWGMPY,1/2/2009,
184,45.6,3,3663.9,2041.2,DLVNF]RIRZYHJQY[XCGHED_[VG\\L^]GTO,1/3/2009,
185,44.5,2,2686.4,2239.8,YXE^MTAGSTNMKYWCTDJ\^X]VOLYIWVSFP\,1/4/2009,
186,15.1,2,873.8,1383.7,PGM]K\C^DMVTU[ZTD[]__QKZ\WLZIPKWKI,1/5/2009,
187,29.2,5,2810.2,1088.2,ZPZZNYQPY]_\[F[VYIDCCC\_AFRLLVX_\P,1/6/2009,
188,20.3,5,1478.4,1072.9,[MWIBKFQCI^EPOCOXZTYR]YMHUHWCUMHW[,1/7/2009,
189,44.1,5,3675.2,574.5,Z\HCWC^DWIT^KA[NJUWD_FK^^DYMWN]QY[,1/8/2009,
190,20.7,4,2120.4,3402.6,Q^LZBMAF[RU_XE\WGV]HNVGGF[MPLIOKLJ,1/9/2009,
191,30.2,5,2925.9,1141.3,ZQYI^BXCAV[Q_T^GRQDXVJUQ^HBYJIMUPN,1/10/2009,
192,16.3,1,2187.9,1831.2,QAJKINGIEBQK]TZNA[SGX_A_ZHME]_SDFT,1/11/2009,
193,27.7,4,2002.1,1386.1,F[RPYE^\HOYQDFEESOJME]\AQATUZRN[ES,1/12/2009,
194,33.1,2,1210.7,2486.8,WUYPTX]XNPKFAVQDI^JGRSPGFOSWLOGQJK,1/13/2009,
195,21.9,2,2493.7,2168.3,BEKKY[AXFCGVPTPEMNHWCFLSP]\M[QHU[V,1/14/2009,
196,5.1,2,1443.2,3946.8,]]KQ]\HCQEJ_FH]LKPUCRGGNWIIXDDJY_J,1/15/2009,
197,35.9,3,1853.7,2055.3,K_KCFNU^RG_F\QR\YN]\[EZZD]UG^]HR_D,1/16/2009,
198,13.7,1,2724.2,1896.9,ZZPEA\HGPLS_XTSX[YDYGDQG[RL[AZLUAN,1/17/2009,
199,28.8,3,740.8,2270.7,UY_PS^ZV]AL\SWMYY]NHYAFEZGKTFW^HZK,1/18/2009,
200,29.7,4,3277.9,3011.2,_CQ[L_^AEEARSQSRATQXMTTKJZULIAT^_N,1/19/2009,
201,39.2,2,1629.8,2447.5,TLE]IGCYXQWGPMXT^]XAKEXVUNLLBR\MWY,1/20/2009,
202,13.6,3,2972.1,3197.6,[FIXJWBK^TAX[GKK_\JV^\]MY_TAIVXABT,1/21/2009,
203,5.1,5,735.7,624.8,EHJWR[T_^U[QGVNG\AND_LOBJPQCW[HSU_,1/22/2009,
204,34.5,2,2727.5,686.3,\LZQF[ZISOA\_XXVVTSEKVPHNJOBNMTUSY,1/23/2009,
205,10.6,5,2735.8,3644.1,^UCJOTM_I^PYDD\JAZ_N[[KULIDARLVSKD,1/24/2009,
206,13.9,5,1729.9,1989.3,EVS^SERVEIBWIMFRHJWSA^BOTQTQUGZY]R,1/25/2009,
207,43.3,1,1312.3,947.1,WP[DSLGV_X[HXO\ZL_B_OFOZH_YHTQ_YO[,1/26/2009,
208,34.3,4,746.9,2839.9,B\AIPWSUEMEGC][YUI_VSD_DVAD^KA]P^^,1/27/2009,
209,45.8,2,997.8,1591.6,UDNWMJKTSKIYDQBN]QSIOB]AOTIXR[OW\C,1/28/2009,
210,29.3,3,3521.1,3169.4,FE]CGWHE_F^QNYSJF\[GPUCMFH]JLDJA[M,1/29/2009,
211,7.7,1,2498.6,2674.8,^_SGV[VVBE_SSXYD\TJF[_XXCCMJSVONWT,1/30/2009,
212,16.5,4,2052.8,3549.5,E__MLDMBYCES[]BXIJXUEWQIYF_[ZLWVLW,1/31/2009,
213,26.1,1,807.6,2957.6,VJBEBZGBTFXKKUX^WSFOMAJZRN_ICK_NVH,2/1/2009,
214,44.3,1,1146.7,850.5,ZG[HQMJWNGFIBMW\WETJTA[MBHH_SCYUNY,2/2/2009,
215,18.3,5,2014.5,584.1,PODUS_X_SGMU\MZH[DAMNVATY[QMCUAJR\,2/3/2009,
216,32.3,3,1761.9,3266.6,UPQHPJRHFFUDGR]MFVXLN]_WFOQIAIXCMF,2/4/2009,
217,28.6,4,3431.9,2520.8,FHUKNT[JND_]]HAFH[^[QPUV\VVI^\LZW^,2/5/2009,
