service_id,service_name,service_desc,service_price,service_code,fk_service_paper,service_date,fk_service_fonts
22,U_84887_,Z[\KRGJQZOQRZL_XIP]EFUH^NKOR^U[\JQVWFPWVCML_UEC\SHDBIXGKGXSD[G\]EOGXW[HWM[GRQC_VCVP\^[RMMN]PG_B[DY][Q^G[Y[V\TUL^MIXKYR\VY^EPM[,724,#2000716,11,3/16/2018,4
23,EN144489A,E[GM[XDFO\]UIM^[W_KEHXQOCKZX^PYGENWESWNVL[MI_UWJJEACVPVCBTR]\J]ZPL_EAHJLAIY^LCBPEQXVXGDLL\VAEDMF_UP_P^JG\\F^LFTG[LLYFZKEVFYBTE,484,#20071223,44,3/12/2017,4
24,YW153785P,S[WWI\^[EBYOERLUQQ^AC_DRW[OVTQQOZBT[^HHFUS_RGJRFWW\X]CU[EZCBE\YIMUZDV[VKM^X]DQDSOUVRTYGQ\FGO\TRN]CTV^XSDAQIQWBOJP\DSTDKSWTZJNK,953,#2016722,19,9/1/2005,18
25,LO87793_,WANPQMGTGNEUU^NPBRZQN]TPEXSTAXW\CSA^CMIQIXFT_E[SCOJXKUZRP_CGEB_RWBEQYNRXJE^^QHJOHUZVYB]HQYMBEISFJQPSFUBBFCV\NMQKHIBOEJZIYASMPI,383,#2007511,43,11/4/2017,45
26,QQ183681C,RSZCVTSFSCNDDRYPGTD^[\ZXANRFKKGBBZSRGJ[U^AAZIIIEPKSARXKJ_WI\FDE_]ZIL]F[IXMFPZOWJ^[]ZO_P]IUR^O[]I_IYOHLEHPKJZHM_EMEVBXYBTWH\WAX,379,#2017825,32,12/18/2005,31
27,_I96993A,QIRU[AFRTCTMGZ^_QU[JMK_HC^^YIN]OE_LGSW\CHH[YNQYB^O[O]XKQPK_JQWGPZFQNGCKKC_VUHZGPGUVRSOOIN[TDCP[\^IYE^ECPM_JVQF^SMQVWZ[YNNS[QXM,666,#2010722,29,5/5/2011,15
28,CS102378W,]GG[_GY_HU]FQCKZEB]I\CE[G^SSSOQJS]ZNMB]WE_^[VNDRU_YITH_WSM_Q^ORJ[SCD[KKYRSRTFK[JXMFKN\__N]YXGBQXFGWKNXXHIV]BM^CY]^RUKYYRCQP]\E,982,#2000711,2,6/12/2019,31
29,V\21787_,UHKQD[IVSV\IOK^^HAVKEL[AQ[U]XNVMAVJT[BSVWEUPCEXBLPIR^_\PNG^DIEVTFAMIIWFZ[OFUHZKBYTZOQWU_[KVIPKVEVVWKMMT]E_YA[GMHWG_OAJBOVLKIXA,728,#2014210,8,11/2/2014,10
30,R^49883T,YB[_SWKNKZN^AGNULI]PSMOKD\MT\MFMZGOZZ\X[BYDTWYQJBMO[WOX[V\RKYXR\RMYBL]EITAE^PHT[GVA]ISXQC_SBE\B[\IVIACLS_VOTCPHOYAFPTGHPBDXMUC,404,#2007921,48,5/13/2017,50
31,T^135167_,H_TA[OZ]_GDYZWJPVUXTMRLUJA^ZU[FAVTXM^[WCSW]UP[[SRVTXVVN_[Q^\[F[SLJHKI]BPVIUOSL^YH\DK[\XG[_OJMYODYAOQGNCYOPFW_UWDRIMYJU^ZO_GGPV,778,#2017414,48,9/3/2015,10
32,^K93391F,KA_DPNSMATALIFBGEPHVJZANNB[KWQLMD__UKSH_P[OG]ZD[A\AXY^^SU_BF]KCZW^KFUZOPORIRBJT\S\Q_SDQPILHUHTX\R\VXBI[^SK[MOIN]BHEM_W]YFFRMXB,486,#2020228,9,9/27/2008,40
33,]]95475K,F\WKMGJE^X^CFJPB]^SN\OLJEUE_\][KNOOYAULQIVY\WRHK\KTFJQTDOJ_UTJTYSV^SNCWXS_DAXLZAVHS\VN]\GFUZ^Y^YEXGFWKXC\PNF\BRAAMFZHQ[JQOWTBL,515,#200637,9,1/11/2004,42
34,EF180588E,SOWJ\AYC\UHX^WXEAL[C\GWAMTFRVHDTAOXZFCTUZGQMTYGUNNFWJTLZUHQPXODLGF_IMHGCRABM\O\_LH[EWUTNSDDWAGF_UU]M[T\IJIST]H^LYJHASATPIYKO^J,851,#2020914,19,2/13/2000,27
35,XZ56790\,]PMYWOEYAJRBDRROAEKBQ^DYF^UZXO]OTIQDBHIJFEN_AHEMGDMRCBTZ\FHO_F^QHOXHDFOPR^RLBOWI]PZ[QR_AG_DNJ_GTIYLN^ZAGNYUI]DA^]TR\M\LIDYSTMJ,529,#201097,1,4/15/2014,41
36,XZ132395G,JBNOIO\^ZGEBPSVEVFLMWJOFMZEXSZT\HB[RCEGCUD\\F\MXZ\NROYL_XYIEADOIYWZOUZJ_EAK[IA^WBLUDXWORRZZANALDSCQN[[PIZW]OCCKD^S\[\RMFBKKNHB,375,#202032,26,12/20/2017,15
37,TY19594S,AGHFO_QHE_W_DJMRTI]VQS^FS]E^RTVTBBO[\IQIYNR\F[\SN^^OWZYEIJNDZCFRYE[CVHO^KCOX]TKAJZDWZQVAI^IVIPYBCBC[GJDWLMNTECXOMYHQRFUIBBKSUG,716,#2019112,36,3/17/2003,49
38,[H170578N,YR]HLDUNDYSRFPYAHDHDZQI^DXJIVOFB[VGWIDLIB^Y\SGCEELD\HLKUVBRHFPIDTENLVVJDJPVMSLIVJZBXLEFUMDO[MMX\LRTIVUCJMJPH[UUACZSQBMQSVXSXE^,637,#20161211,36,4/21/2005,3
39,S]30567_,ASHIEYFQFVNAEZB__BM\QMIIAQS\ALT[S[JUDY[^F\UOFWACF]GZHDCBJ]URUZZVNTVAM^RYVQNRANDGG^XHBWXFLR]YZKZUHLBAY_GRF]G\P_NDAYJPB_VUVV[TIY,798,#2000213,26,5/3/2020,2
40,JE88182A,NOWPDOA_[L]SXCUPIBMUFOGPGTGJI[YVO[TNMBHNZST^]J[LWLQIMGENSHYVOGRATADQVY[]VQY^UYMRSS[Z_DPYAIJNZC_SQZVQWBTKLJTAXSZQYYNDKIVE[ZWWG[,687,#2015418,35,2/5/2001,2
41,TZ77781H,XY_UE\CFPFMELIYNCK\HQG\T[]HZQYYTSQFNJMQJ\CMZ__EASKVNORXVCPFD^FVFPSW]L\YLTQQP]ZAR_IDDLVJXTSES]IOEKQDFULUBOTA^_T[O_TNX^DNRPRMEWT,537,#2008320,21,1/18/2017,14
42,RC39089_,KPT^ISENWVSGKQM_TSAH[WVGWXF^KPRY_GWRH_RFEQP\^HTES]ZBGD][YPOL]XSZKRKLASYKP\QYWZMGF[URHRMKRBMVMKXZ[WIXIUK]HLSJ^BUTSD_WSE]\C[NW]E,654,#2009210,43,2/1/2002,4
43,AT56094_,_ZSLEWM_WBEAO[STXZBN\W^YHDBBJFTECA_XLVUTF\_[O]RA_MTCI[MAWYMATPDGZDH^UNBFTJKPYZSAZAT^DZSCI]EAPIDDDHXS\_CXZZQNN]YTZWKZPOZJ^[_NEM,388,#2017418,45,10/17/2019,25
44,B]186667F,\]UHOFRCHUZODZSTCL]EV\MX[W_LXASXZ_ECNPO_PLRFE\Z\SZ^F_\SW__R\HIRFM\DMDRTVSCCCU[XRMJCPM[LKPFCPHTHYA_WBS]IT_BNJUMNIAXGAERCG[QMRY\,823,#2004910,4,5/24/2018,44
45,LV136183H,ALRKHUPIEDCGN^[EFLJKWPUOPF^CCY\EKFTZGDLEOC^BFQ\BY]UEFJE_YLCBZHQGVMGMQRQFUUXNXAMAWR\WMEY]_YCDNQ\CRYGR]G]J_^XFZAZJWFI\UJLELYGCDS,640,#2007103,47,2/1/2008,44
46,WV106466Q,JGAPXKJNH_N[MYB_RBQMPX^[SCBZCKXJ]GTVE[GQALNTLPQQSBMHOI]RMZQ_LOFFO]XG^V]LKDIYHUCOBFOFOJSUSI_PPGHQOB^EQIB\OJAUNQTLCBPEVNYEJAKBYI,867,#2001314,2,5/20/2000,33
47,WL76475S,WKLSO_PXFPTEED_M]UQYXMNMTP[TKWZFTCRAGWTLQQJEHQ]DH_XBOFYUX_]PMFZWHVMGXGAR[^AUJGL]QO]RMSNPTJC\[JP^DJWMSEFHNTQ\JCZLL__OJYM]]SFZNW,578,#20081110,30,4/28/2006,10
48,KR172365B,PJSVEQMNVBMKS]S\P\^\N]AJROMV\INPTNZLYJKBWZTDYCCLHUY^K[_\MWKZO\[VPLHIT_TWES]LVQN\UH_XQBZHQ[YQQUYANADZ_N[XQMYR]F[RA]VUETWBFLFWUB,629,#201011,12,8/4/2002,16
49,SM121968S,]]\HUPLGPAODK[IXQU^TSJF^_VTVCQUNIRRYIKSBF\MWGR]_ZLFPLOEXTFUOHARWKRXB_YNA\XMTOJIV^XBOWTPE[HECOICFYSM\BDYEZZO\EYVRGKYPDJCPT]SLKP,517,#2003112,16,8/5/2002,33
50,UR170675P,JJ]BC_J_TQYBBVFOBO^TMOVATHMYO_]EQVUVHEAOF^AEFMDG[VK^AUUU^HBXLBPGJNCO^TPADARSNQG^]VKB][XSBXCYPTWC]^\XLHGNUXEIUUIZTP_FSITB[HPJ_U,979,#2003714,30,8/6/2002,38
51,OY272,KFOPHNPV]FC^E]YVQ^SJUBV^YCZXJNRF_EEX_WFEDBQW_DAS]DVTVOQBSSIRMDDFZPIWXQXQW\FEE[L\OELYUAXGSLXHSTEO[[RDQWV[OQGO^[CKZMQ\KE_HR\CWH_,659,#2003715,3861,8/7/2002,2805
52,OW924,YKYMNSLZRZDC^HSLER[[JHIAYKFIRCS]^YG^UICIXNF[_XYPX[JC[XCWL\XMI[[KNNVCMBKLHBYNZCWC\KXJGHQ[RWAGWDEVMHCJPR\AH[UU]DTHLECLHDBRYGK_[^,984,#2003716,2826,8/8/2002,1140
53,DL95,RHT_QEEWFCCNL]NHSPZOQYNLUR\UTD^XAFJNBUD_KWPE]QN]WLMXK]W]XGQ]RXLFRUXPYKONJFWTM[INBQC_QKANCCBL\FDF]RXTUPG\P[S]GAHUSDAYUENHJKWSX],888,#2003717,2313,8/9/2002,2489
54,WB1549,[JYAVWILXPWZEF\ZBF\_VJ]ZW[R^\NNT]JMHIRFSZUXTHE^I]T\ARZCMBV\K[FXPOKJ_ATIFAUTBHDWORFPCRXCPHTXH[HP]YOJBPVXVGPHJYBN]E^WKKCJPBWYHO[,753,#2003718,154,8/10/2002,3841
55,AP817,URLKPOMIUPUODXUWMHKRQHCTHT[[VAOCTZSYIZFQPF^MLLD\VQ]RALMSLRAO\JY_JZGZTMQ[GH[OUFXBWRJOHKAAUL]N_HHVQRQX^[LCJQB^J\DGU_VU^G^USECNOC,662,#2003719,2611,8/11/2002,1441
56,^Z50,A\LRZNPHJT_NJPEGOMPTCB\SJ[VJ\HROEFQJM_^F]O^P]JYYJBZ]AGTPWNCHCGLPEKYXMJ\KTHXPBUNVDGCVIBCT]KRO_PDMJV^]K\LXZGGRXMXSW_]JTQ_NHUPLZU,490,#2003720,303,8/12/2002,1355
57,PG689,YROAJRUTPPFUVZLO^EK[GPNA[GEKXKUX^OJGLEQRRLW^CWV]WPZIHE[NJTR]^]VGIBMJ[W_O_OOFUCKW]VZSPFWEH_CBJLFQILCNYV_[QS\SMQTFUSZADV^_M^SHPO,787,#2003721,41,8/13/2002,2690
58,M_717,ZGKFFWUZTOGNAZXPBR[H_QVKKA[^BSRTEE^NC\XPU_UBJT^_VMERHPNC]\LD^VQBF[MLRTBCIF^QU_PGWBRNFE[STXBRS]D\GRQS]SRZKNFJOQ_AADWDNSLHILK]^W,660,#2003722,368,8/14/2002,3703
59,CU1184,UN]RZFUO\ZT_^QN\[RGSBGNSTZKKQKIVNHKVYZZXLT_OMJ_RFEBVIEW[JYEJ^_FO_^AIXB\QH^^EAVEX_]L]JFR\_WCTBCHFDVXJCIO\UXIHLD_BI]CROOQBXCRBPC,437,#2003723,2344,8/15/2002,3478
60,QJ368,SRPEGZL\MO\LC[ZD^X_NIYBNG\IURMTQ_MDE[GXQEMBMEACE\OKNARJFYSNXS_I[KBFCJZDNLOXWDWMQ\UWEDE\OINCBWOKWTGNM^TQ^YXAGG]ZZTCMD_EJPAIE]_F,880,#2003724,2142,8/16/2002,2762
61,LZ1231,VCRTCPH_]RWWBJFJBVWXMLNQV]MDBHV[FJ_U^TS^]TV]KMKFH[ZFCYB[PAOFEYOQCEVQYDNYH^^^SNRU^^KGMMNSSLIPMSJGNGQBMZNUZYF\FBKTAH_LULR_NVBHDQ,740,#2003725,3876,8/17/2002,2286
62,FW37,_MQWXV^_HZQ]^GPUSST[NFVAERU_JYL_HTZVXPQWEHLBJ_BIZH_B]BLR_UPQX[PUIHLNQQSOQ[AH\AUQHN\QINCDZOJ[HQVUEOYV]UIFC^GUMNHTB^WQHRA\T[F]HL,908,#2003726,3463,8/18/2002,1404
63,V\330,VGAAOHCNZVGFSQVK^AS^FILLHTC[DHLLAYXKMUXPYC]COXLNEMIMPZGVAVFKDVJETLBGWJNSJVGT^NSQF^TUYLDD\]F^YQQYYOTCMPXG[KAIMJWNKVHPGFPLVKCJFP,561,#2003727,1293,8/19/2002,2376
64,HM990,DUSVEIEEEVKWK[WMRHFWHHKSQPZEIGU[\]]_BZPNFACTVREQOBJOLQVP[EVAW\CYA]BNJOCRXCNWZAKDV^\\NLSPXC\U[CKBWFAY]NQBH]L^SHV\XI^DGS\S^[ZQX],602,#2003728,11,8/20/2002,1719
65,CE41,ZVSRMH\^UKZHXRZJLKZMD\UPCEFOWK_TBK^IXCFG_V[OHBPZPVV^DNVAJXNVF[OPPHXX[VJNPAHJLVUNSPORMYAHZSFCXASEDHYICC]S\]GDW_PC^EWUKQHO\DAC^B,841,#2003729,1666,8/21/2002,2464
66,RE1145,PCATNR[[XOXPKYX[N\H[G[JX]XZG\GAKDRDIYVBBEEWL^EQKZVPUUSTBZABRNZJBGMVC\VC_\CJXXWSJE_NP[NTGVGCUX\TUFMUTOFYJAQNRQ_Z[OC^YIFG\[JPRJE,471,#2003730,1505,8/22/2002,2402
67,CW1060,CHUQUCPAG[WHA\]UR\]EQFZ[]FL]W\KVS[I_W[IBZ]NNOCHMZ]VJRPNOZPZT_SHVD[LJ[X]HUJDODTFPPYHK[AN_OVP\HC\ROAQ\TK]]I^UWUEPC[PJDSSIRHKHCRW,446,#2003731,2959,8/23/2002,2336
68,BV586,OZFWZKGZNSO]B]^OF^KCMMVJTHE_WIBH_RJGDUAATNKUNXCNYISSOBNETERB\BM^DNGVYN[^ZIHPC\IIXHQAQR]JDXP_NP[EWJBSWUS^FAK^ILTXWDSZISD[QO]CE\,772,#2003732,565,8/24/2002,1108
69,_A1796,F]HQGIWBUPCJ_ZA_SPJSCTVBIHDR^LOGHFLJQUKIS_SFCMECWDIA\FQ[E[EESDXRZMLNLAOXXWGCVLMPRYZNINWFD^XFGTK\W^HKGFJAVEKAUDSSXDD^FKEIFHW]KE,515,#2003733,2322,8/25/2002,2077
70,N\65,EUOVJOLCY_XRDAJOCHKQ]QKRCLERRPMC_WDEMPXEPJQNCA_EFHUJMM]DOAIKMYKIJVVNCGEXPQ\_QYX]BVR[^ACPYKCERQDVX^U]J_VOXYDJ_TBXGU[NUMBPG]ERIM,341,#2003734,2448,8/26/2002,1645
71,O[1653,MSWOEI[AUWHYIPDUVTOUTE[U[S\KIXQJGTQ[M]_IXZVDIBVWLAL^UNCFF_X[ASMAVCSKCT\EMT^CWACWIYYN\VRCUTPY_DNTC\LFMG]]PGOGZHBOFGKF[PTSBVQHZO,671,#2003735,2216,8/27/2002,1955
72,N^1021,FT_EBDRLLXM_IEOT_TTLJTREWK\GHOSKGUIRMQDHF\ZCTWBD\AKZ[Z[SAHUCQ\EY\JVHVEDYXNVFHVFVLC[V]EO\_SM_ZTPQDBDC^MMIPRUKZXK_NUC[XBVEIFHRON,776,#2003736,700,8/28/2002,589
73,BV1892,DRQ^^JALP\FWCUPRXELL[N[GW_CZ]VNOMK]SERQMANQDVKN[PNQNNOF]GLKMT\RNHLHDTO[Q\YZQUIWA_KDGFRVQLWLPR\GMFIRIHYJJVQNMVCXWA\NNH][ENPLL^U,456,#2003737,2459,8/29/2002,1531
74,SN614,J_JA[LUJL_TQL^FIQEGIRIZ[MLV^WLOHGAZPRTQMX^SDVXCXZTPQHLYGZMQ\MBVODAOM[TXFPHNRLZSKFJ^LKE[SKDO]BQVDKM_MG[K\UCMRY]RX_O[HM_Q[V[WEV^,897,#2003738,1397,8/30/2002,3908
75,^C711,TCQCUCHVPNAM_O[DXWXVCXILOICUODCW]JGCVSZASENUXAAONLOQHGF[[S^[ZAQUSASUUHB[XPENSZIA^OJMIOGSMSLUC[JDHSKW[BHJNPZGZHUFEIS_R]J_I^AHGO,531,#2003739,3316,8/31/2002,1478
76,ZR932,NPYJAF[NIEGIR_WHB_[BUF\]KEGPEFAC[K\CQZW[EO[QWB^CBHFSMTGPRRRUMTCMTKBVDJ[][ILGXMIACJYB[BL^QOKECDSY_LX^I^ZY^YWMK\CTE_]APUHNNQR\^],957,#2003740,748,9/1/2002,663
77,K[1535,I[GTJCYNHMMZ[TON[^J\XM[JPVFZYI^]XHGOK_NOICOO_IJVRLY[EXSNKHVHYV^MARNTHD[SEBJ^YIROYPREDJT]PKYQUMHEVWBQXKZKDOZ^BSI^DO]DUP[UJTDQTJ,865,#2003741,587,9/2/2002,1891
78,MT1830,RHWNSH^X]G_RO]FUMQ^\YPRQXQAMIMQMMPJ\TIHKQFVFIKEATL__MJDMV\[SPRTY\SPPPDYV]AYZGIDWK^F\TCLNGCERCF_]SHT_LXXJGVTEXQEYKY^IUGPXLZOGF_,758,#2003742,2055,9/3/2002,1306
79,OP1750,HPONZE^^AR[WFDFDCQ]DAXQCWXTFNAYBBLIGWSEX\P[QYZPPID]_Q_EOGTOPQWLQBWVGGNYBIFJVXFEBUPTLP[CMKDZV\UAO[HYHDXNCH_UBSWZBLZGKSG_KLBWUCN,548,#2003743,1576,9/4/2002,1136
80,HO649,GNC\YJQ]ZKMMV]GZCEWJ]U^ZZJTZSRRPKDOYBNL[PQNCX_[KMVVGDOMPEQNHMFIYLJ]VBSXUE]J\VE\JNHHH_MFJZFPP^JOSHNHYBHSLR^JOANDKG_NLP]QC_PTOTN,935,#2003744,2347,9/5/2002,2290
81,\L318,GLIHZHNS\^KPAW_LOVRVGRZCHSBR_RRRYSXRZQHNANTNYBR[TSUP]RPZO]PDZVO\_QLGWYYUVHLYKCHROVYRGMOM[JI[ENJVOPYQOB^S^_DLNTTZ[KMG[PQYQARZYC,993,#2003745,1154,9/6/2002,3419
82,HC647,IVMWXTDTINOREIHKZXSDPTKILL^NDIFQCPHQAONLSAL\NXAZM_P]NWULA_UA^QZJRZX^ZYSOJQ\HJW[MTNDTBTA]EM\MWVVYKJOMLHNFOU[]QH\BVQEK\\\UJXC^B[,554,#2003746,2733,9/7/2002,3165
83,JJ54,A\HWVG_CFXYIONRMFVZQ[O]FPUKW\M[IZIRYO\WGIY\YLUQ]UI\]CRWOA[UVAGFJOWPPPRKSJBX^_DC[B^ARMZRMKUYSZU^WJI^S\EDB[]FCEEBXHKNYXGIBZUD[^S,857,#2003747,412,9/8/2002,2544
84,DE508,X_WRJOJQV]EKOUPWRBMJVTYKQEHUQFBGBBZJVMYYMXZ]SCIJEIWLEVHB^E^WGZ[UPPE[\U\FVKUPKCCUOUV[SHOEQJ[\RNXSKESLZXBQYP]ZQETDXFXYDQBVQ]QMWS,828,#2003748,512,9/9/2002,591
85,SK753,BALLGEOGW_ZLQVL^YTDPSTDBDI_LCUZMCP\CARAVER\KCIBMYQGKC\VI[II[\^YTD_VPNQNGFEPTV__WJY]RJDPA]KTRCHOPU]PGR_^WYTFC^WC^L^L^SHACXWWGOI,968,#2003749,2298,9/10/2002,1162
86,ND829,TRL]WVQI^EIPCPOAW\RQ^LZIG[PP_S_MPTAQZNIBANYPCWRWXUPVPASFGF]IXAKIS^CUVWAFCRCZCMCW[ZXSAXFXIWW]VQEOW\WREWNANRC^ZILHGUHT]R^LEUV]ZT,563,#2003750,865,9/11/2002,2363
87,PE563,ZYRLRMRW]NC_\Z_RYD\NCTPPHEMXO^VNHFPJPDZSUJKERWWYTFFNNJ]KYLUZUACWHTPE_]TBDOOYZ[JBPRKIZ[DKN\CAF[RASYN[QWLUYZP^KI^VMFGNMHCT]UQUYU,856,#2003751,1979,9/12/2002,2054
88,MG623,WQNOYNSGLX^FJXCES^EXSK_MXK^YOZ^JQEHVJUJ^ZPNPPXG\DTGRZGKRH\EHMY_YGUGAAGPNZBWT\F]YHUS\VFVGVGWDSACEWAYOURRRJNUNFIDPDH_WRGZPETOUQJ,936,#2003752,3102,9/13/2002,2682
89,TG1669,WEX]MJRCTE[HZKAUFJVS]UDC^]VIBFVKBGIXTHD_CR_[\GYHZU\[J^INWTLC^]XBCSOURRGPII]LUCLIRXR\MLX_Z_DCHZEWDMTYHHAJO]IXDUHMDZLCQCVD[^]CVF,623,#2003753,2867,9/14/2002,735
90,NU1170,RWBGL\UTFGTZJVQXGE^Y[VLQWLGZFMNRT_]BZQFUWCSXKZEGT^V]]AQUDMGXO[\FRBQRRRJV_]\GOHO[CAIPWTEKYLBADMC]NO_RM]SHAN[CAZL\IEMG_DX\QA^L\G,683,#2003754,1360,9/15/2002,1917
91,N[1732,^BQSFMOXKMOXIKFE\OCTO_IKHN_O\O]KEQUX][APMDJOFTAYQXR_PRWIH^[E]WYUW^QXAVKO]MRBSABCRYHUPRYZOC[JDQD_JUN_FHJIJDZVS]KVIBH^JQS[HZVDQL,555,#2003755,786,9/16/2002,723
